策略,總交易次數,獲利交易,勝率(%),總利潤,平均利潤,最大回撤,買進信號,賣出信號
原版MACD策略,2,1,50.0%,"47,488","23,744","3,445",3,2
動態追蹤策略,2,1,50.0%,"47,488","23,744","3,445",3,2
